ID,Noms
BernardinoGatti,"Bernardo
               Soiaro,Bernardo Soiaro,Bernard de"
BernardinoLanino,Bernardino Lanino
BernardinoLicinio,son Oncle
BernardinoLuini,"Bernardino Lovino,Bernardin Lovin,Lovini"
BernardoAlberti,Bernard
BernardoCastello,Bernard Castello
BernardoCesi,Bernard Cæsius
BernardoDaddi,Bernardo Daddi
BernardoDoviziDaBibbiena,"le
                  Cardinal,Cardinal de Sainte Bibiane,Bernard de Bibiénne,Bernardo Divizio,Bernard Divicio,ce Cardinal,Cardinal"
BernardoVecchietti,Bernardo Vecchietto
BernardoZenale,"Bernardo Zenale,Bernard Zenal,Zenale"
BernardusLePetit,"Le petit Bernard,petit Bernard"
BernhardJobin,Bernard Jobius
Bernin,"Le Cavalier Berninena,le Chevalier Bernin,Chevalier Bernin,le Bernin"
BertoldoDiGiovanni,Bertolde
Beseleel,"Beseléel,Beésel"
BindoAltoviti,"Bindo
                     Altoviti,Bindo
               Altoviti,Bindo Altoviti"
BlaiseDeVigenere,"Ce même Auteur,Vigenere"
BlaiseFrancoisPagan,"Comte de
                                    Pagan,M. de
                                    Pagan,Comte de Pagan"
Bloemaert,"les Bloemars,Blomart"
BoccaccioBoccaccino,Boccacino
Boccace,Boccace
BonannoPisano,Bonnano
BonifacioDelVasto,Marquis del Vaste
BonifacioVeronese,Bonniface Vénitien
Boree,Boreas
BorisI,Bogoris
Boupalos,Bupalus
Boutades,Dibutade
Bramante,"ce celebre Architecte,Bramant d'Urbin,Cet Architecte,Bramants,Bramante,Bramanti,Bramant"
Bramantino,"Bramantino,Bramantine,Bramantin"
Brunelleschi,"cet illustre Architecte et fameux Sculteur,Filipe Bruneleschi,Filippo Brunelesco,Cet habile homme,Ser-bruneleschi,Ser Bruneleschi,Serbruneleschi,Bruneleschi"
Bryaxis,Briaxis
Bucephale,"Bucephale,Bucefale,Bucefalo"
Bularque,"Ce Peintre,Bularque,Bularco"
BuonaiutoLorini,Lorini
BuonamicoBuffalmacco,"BONAMICO BUFALMACO,BUFFALMACCO,Buffalmacco,Buonamico,Bufalmaco"
Buschetto,"Buschetto,Buchette,Bouchet"
Cacus,Caco
Cadmos,Cadmus
Cain,"Caïn,Cain"
CaiusCestius,C. Cestius
CaiusGracchus,Gracque
CaiusJuliusHyginus,d'Higinus
CaiusLaelius,Lelius
CaiusMaecenas,Mecenas
CaiusMarius,Marius
Calamis,Calamis
Calare,Calare
Calchas,"Calcante,Calchas"
Calcostenes,Calcostene
Caligula,"Caius Caligula,Caie caligule,cet Empereur,Califurnius,Caligula,Caligule,Caius"
CalixteI,Caliste
CalliclesPeintre,Callicle
Callicrates,"Callistrate,Callicrate"
Callicratidas,Callicratidas
Callimaque,"Callimachus,Callimaque"
Calliope,Calioppe
CallirrhoeDeSicyone,"Corinthia,fille de,sa fille"
Callon,Calon
Calypso,Calipso
CalypsoPeintre,"Calisso,Calisse"
CambyseI,"Cambyse le Persan,Cambyse"
CambyseII,Cambyse
CamilloBoccaccino,"Camillo Boccaccino,Camillo Boccacino,Boccaccino"
CamilloDucci,Camillo Ducci
CamilloGraffico,Camille Graffico
CamilloMassimi,"Prélat Massimi,M. Massimi"
CamilloProcaccini,"Camillo Procaccini,Camillo"
Campaspe,"campaspe,Campaspe"
Canachus,Canachus
Candaule,"Candule de Lidie,Roy de Lidie,Candaules,Candaule,Candules"
Caporali,Benoît Caporal
Caracalla,"Antonin Caracalle,Caracala"
Caradosso,"Caradosso Foppa,Caradosso"
Caravage,"Michel'Angelo da Caravaggio,Michelangelo da Caravaggio,Michelange de Caravage.,Michelange de Carevagio,Michelange de Caravage,MICHELANGE DE CARAVAGE,Michel-Ange, Carravage,Michel-Ange Carravage,Amerigi de Caravage,MICHELANGE MERIGI,Le Caravage,le Caravage,Caravaggio,Caravages,Carravage,Caravage"
Carchedon,Carchedon
CarelVanMander,"CHARLES VER-MANDER,Charles Ver-Mandre,Charles Van-Mandre,Carlo Vanmander,Van-Mander,Van-Mandre"
CarloBorromeo,"Carlo
     Borromeo,Cardinal Borromée,Carlo Borromeo,CARLO"
CarloCaliari,"CHARLES,un Fils"
CarloCarafa,Cardinal Caraffe
CarloCesareMalvasia,"le Comte Malvasie,Comte de Malvasia,Le Comte Malvasie,Comte Malvasie,Malvazzia,Malvasio"
CarloDati,Carlo Dati
CarloLuigiDAragonaTagliava,Duca di
CarloMaderno,le Maderne
CarloMaratti,Carlo Marati
CarloRidolfi,"Carlo Ridolfi,Rodolfi,Ridolfi,Ridolsi"
CarloUrbino,Pittore da
Carrache,"ces illustres Caraches,des Caraches,LES CARACHES,les Caraches,Les Caraches,le Carache,Caraccius,Carraches,Carraces,Caraches,Carrache,Carracci,Carache,Caracci"
CasparNetscher,"GASPAR NETSCHE,Netscher,Gaspar"
CassianoDalPozzo,"Cavallier del Pozzo,Chevalier"
Cassiodore,Cassiodore
Castor,"Castore,Castor"
CaterinaCantoni,"Catherina Cantona,Catarina Cantona,Cantona"
