xml_id	personne_qid	type	lieu_qid
LeonIV	Q228205	décès	Q220
Lucrece	Q229432	naissance	a314fa418ca59505582895ba4b787157
Lucrece	Q229432	décès	Q220
SimonMagicien	Q294795	naissance	Q1294629
SimonMagicien	Q294795	décès	Q220
PietroLorenzetti	Q309635	naissance	Q2751
PietroLorenzetti	Q309635	décès	Q2751
Leochares	Q323430	naissance	Q1524
CharlesIIILorraine	Q505040	naissance	Q40898
CharlesIIILorraine	Q505040	décès	Q40898
BenedettoDaMaiano	Q675619	naissance	Q2044
BenedettoDaMaiano	Q675619	décès	Q2044
BenedettoDaMaiano	Q675619	naissance	Q18487093
BenedettoDaMaiano	Q675619	décès	Q2044
CristoforoMadruzzo	Q683106	naissance	Q257035
CristoforoMadruzzo	Q683106	décès	Q159605
LudovicoLudovisi	Q707750	naissance	Q1891
LudovicoLudovisi	Q707750	décès	Q1891
FranciscoLopezDeGomara	Q721423	naissance	Q837777
FranciscoLopezDeGomara	Q721423	décès	Q837777
LouisXIII	Q737533	naissance	Q182872
LouisXIII	Q737533	décès	Q185075
BastianoMainardi	Q785254	naissance	Q91413
BastianoMainardi	Q785254	décès	Q2044
AurelioLuini	Q1071000	naissance	Q490
AurelioLuini	Q1071000	décès	Q490
Lorenzetto	Q1363951	naissance	Q2044
Lorenzetto	Q1363951	décès	Q220
BattistaLorenzi	Q1525885	naissance	Q942605
BattistaLorenzi	Q1525885	décès	Q13375
OnorioLonghi	Q2024585	naissance	Q41041
OnorioLonghi	Q2024585	décès	Q220
LorenzoLuzzo	Q2307438	naissance	Q1465
LorenzoLuzzo	Q2307438	décès	Q3370
AlessandroMaganza	Q2623038	naissance	Q6537
AlessandroMaganza	Q2623038	décès	Q6537
EmmanuelMaignan	Q3052782	naissance	Q7880
EmmanuelMaignan	Q3052782	décès	Q7880
AngeloDiLorentino	Q3617296	naissance	Q13378
AngeloDiLorentino	Q3617296	décès	Q13378
GirolamoLombardo	Q3768939	naissance	Q13362
GirolamoLombardo	Q3768939	décès	Q83362
MargaritaLuti	Q14798562	naissance	Q2751
MargaritaLuti	Q14798562	décès	Q220
Maggiore	Q18508239	naissance	Q490
Maggiore	Q18508239	décès	Q220
BuonaiutoLorini	Q18945105	naissance	Q2044
BuonaiutoLorini	Q18945105	décès	Q641
GiovanniMaggi	Q21369214	naissance	Q220
GiovanniMaggi	Q21369214	décès	Q220
AndreLebre	Q28016969	naissance	Q7880
AndreLebre	Q28016969	décès	Q7880
MarcAurele	Q1430	naissance	Q220
MarcAurele	Q1430	décès	Q871525
AndreaMantegna	Q5681	naissance	Q18498195
AndreaMantegna	Q5681	décès	Q6247
Masaccio	Q5811	naissance	Q52097
Masaccio	Q5811	décès	Q220
Parmigianino	Q9348	naissance	Q2683
Parmigianino	Q9348	décès	Q42139
SaintMatthieu	Q43600	naissance	Q155321
SaintMatthieu	Q43600	décès	Q115
MaximilienIDuc	Q57206	naissance	Q1726
MaximilienIDuc	Q57206	décès	Q3004
SaintMartin	Q133704	naissance	Q42007
SaintMartin	Q133704	décès	Q476848
JulesMazarin	Q166056	naissance	Q50122
