xml_id,region,latitude,longitude,count
PietroBembo,Vénétie,45.733333333,11.85,1
PietroBuonaccorsi,Toscane,43.45,11.2,14
Pordenone,Frioul-Vénétie Julienne,46.1,13.116666666,1
Raphael,Marches,43.316666666,13.0,65
RossoFiorentino,Toscane,43.45,11.2,19
SandroBotticelli,Toscane,43.45,11.2,4
SpinelloAretino,Toscane,43.45,11.2,3
Titien,Vénétie,45.733333333,11.85,16
AlbertiDurante,Toscane,43.45,11.2,4
AndreaDelSarto,Toscane,43.45,11.2,1
AndreaMantegna,Vénétie,45.733333333,11.85,1
AndreaPalladio,Vénétie,45.733333333,11.85,1
BaccioBandinelli,Toscane,43.45,11.2,1
BaldassarrePeruzzi,Toscane,43.45,11.2,1
Bramante,Marches,43.316666666,13.0,4
Caravage,Lombardie,45.65,9.95,6
CesareDaSesto,Lombardie,45.65,9.95,1
CesareNebbia,Ombrie,42.983333333,12.566666666,3
CesareRipa,Ombrie,42.983333333,12.566666666,1
Correge,Émilie-Romagne,44.75,11.0,1
CristoforoRoncalli,Toscane,43.45,11.2,2
DanieleDaVolterra,Toscane,43.45,11.2,8
Dominiquin,Émilie-Romagne,44.75,11.0,6
Donatello,Toscane,43.45,11.2,3
FedericoZuccaro,Marches,43.316666666,13.0,12
Gaudenzio,Piémont,45.25,7.916666666,3
GiorgioVasari,Toscane,43.45,11.2,5
GiovanniDeVecchi,Toscane,43.45,11.2,1
GiovanniGiacomoDellaPorta,Lombardie,45.65,9.95,3
GiovanniLanfranco,Émilie-Romagne,44.75,11.0,1
GirolamoMassei,Toscane,43.45,11.2,2
GirolamoMuziano,Lombardie,45.65,9.95,3
GirolamoSiciolante,Latium,41.9,12.716666666,2
GiulioRomano,Latium,41.9,12.716666666,11
GiuseppeCesari,Latium,41.9,12.716666666,2
GuidoReni,Émilie-Romagne,44.75,11.0,2
HendrickGoltzius,Allemagne,51.0,10.0,1
JacopoBassano,Vénétie,45.733333333,11.85,1
JacopoSansovino,Toscane,43.45,11.2,2
LaviniaFontana,Émilie-Romagne,44.75,11.0,3
LudovicoAriosto,Émilie-Romagne,44.75,11.0,2
Maggiore,Lombardie,45.65,9.95,13
MarcelloVenusti,Lombardie,45.65,9.95,9
MarcoPino,Toscane,43.45,11.2,2
MaturinoFiorentino,Toscane,43.45,11.2,1
MichelAnge,Toscane,43.45,11.2,13
NiccoloCircignani,Toscane,43.45,11.2,2
PaoloRomano,Latium,41.9,12.716666666,2
Parmigianino,Émilie-Romagne,44.75,11.0,1
PellegrinoAretusi,Émilie-Romagne,44.75,11.0,1
PellegrinoTibaldi,Lombardie,45.65,9.95,1
Perugin,Ombrie,42.983333333,12.566666666,2
PierreDeCortone,Toscane,43.45,11.2,1
PietroBuonaccorsi,Toscane,43.45,11.2,16
Pisanello,Toscane,43.45,11.2,1
PolidoroDaCaravaggio,Lombardie,45.65,9.95,2
Raphael,Marches,43.316666666,13.0,59
RossoFiorentino,Toscane,43.45,11.2,1
TaddeoZuccaro,Marches,43.316666666,13.0,1
Titien,Vénétie,45.733333333,11.85,2
AlbertiDurante,Toscane,43.45,11.2,8
AlviseCornaro,Vénétie,45.733333333,11.85,18
BaccioBandinelli,Toscane,43.45,11.2,3
BenedettoVarchi,Toscane,43.45,11.2,6
BenvenutoCellini,Toscane,43.45,11.2,8
Bramante,Marches,43.316666666,13.0,1
Caradosso,Lombardie,45.65,9.95,5
