xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
JacopoSansovino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
AntonioTempesta,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
DavidTeniers,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
DavidITeniers,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
GerardTerborch,Zwolle,Overijssel,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
PietroTesta,Lucques,Lucques,Toscane,Toscane,Italie,Q38,Q1273
PhilippeThomassin,Troyes,Aube,Grand Est,France,France,Q142,Q142
TheodorVanThulden,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
DomenicoTibaldi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
PellegrinoTibaldi,Puria,Valsolda,Côme,Lombardie,Italie,Q38,Q1210
JacopoTintoretto,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
MariettaTintoretto,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
Titien,Pieve di Cadore,Belluno,Vénétie,Vénétie,Italie,Q38,Q1243
FrancescoTorbido,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
NiccoloTornioli,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
JohannesTorrentius,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55
PietroTorrigiano,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
FrancoisTortebat,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
NicolasTournier,Montbéliard,Doubs,Bourgogne-Franche-Comté,France,France,Q142,Q142
AntonioDaTrento,Trente,province autonome de Trente,Trentin-Haut-Adige,Trentin-Haut-Adige,Italie,Q38,Q1237
NiccoloTribolo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
PaoloUccello,Pratovecchio,Pratovecchio-Stia,Arezzo,Toscane,Italie,Q38,Q1273
GiovanniDaUdine,Udine,Organisme de décentralisation régionale d'Udine,Frioul-Vénétie Julienne,Frioul-Vénétie Julienne,Italie,Q38,Q1250
PhilippUffenbach,Francfort-sur-le-Main,district de Darmstadt,Hesse,Allemagne,Allemagne,Q183,Q183
CarloUrbino,Crema,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210
