xml_id,wikidata_id,ulan_id
AgostinoDiGiovanni,Q395759,500045995
BertoldoDiGiovanni,Q828363,500030097
DarioDiGiovanni,Q3702686,500032960
GiovanniMariaFalconetto,Q1071025,500027343
GirolamoMacchietti,Q350028,500007200
DanielGittard,Q3014096,500065820
HendrickGoltzius,Q165367,500023327
HubertusGoltzius,Q1866375,500009741
JanGossaert,Q346952,500009353
HendrickGoudt,Q2101519,500115705
JeanGoujon,Q551643,500004245
AntivedutoGramatica,Q2565172,500015547
MatthausGreuter,Q3299661,500005629
MatthiasGrunewald,Q154338,500021832
RaffaelloGuidi,Q134451263,500044332
GuidoReni,Q109061,500030334
PaoloGuidotti,Q3894144,500020469
FrancoisGuy,Q3121786,500018797
AdriaenHanneman,Q864279,500005407
JulesHardouinMansart,Q8053,500029668
MaertenVanHeemskerck,Q538350,500124291
JosephHeintz,Q535474,500004495
JanSandersVanHemessen,Q427870,500004571
JanVanDenHoecke,Q1349676,500019616
JacobHoefnagel,Q1389562,500011170
HansHolbeinDeElder,Q49987,500001791
HansHolbeinDeJonge,Q48319,500005259
GabrielHonnet,Q21406128,500110736
GerritVanHonthorst,Q314548,500051681
InnocenzoFrancucci,Q1350937,500017772
AbrahamJanssens,Q330139,500033089
PieterDeJodeI,Q724760,500015194
JacobJordaens,Q270658,500012431
FranciscusJunius,Q2951068,500320299
WillemKey,Q1827660,500003523
MelchiorIKusel,Q6812010,500083170
PhilibertDelorme,Q440053,500002516
LaurentDeLaHyre,Q59894,500004322
AntonioLabacco,Q2290168,500014107
PieterVanLaer,Q576907,500007565
RaymondLafage,Q3420968,500027384
AntoineLafrery,Q602742,500011513
GeorgesLallemand,Q1508985,500031794
DominiqueLampsonius,Q1909526,500062080
PaoloCamilloLandriani,Q3362607,500012290
GiovanniLanfranco,Q447730,500022495
NicolasLanglois,Q29436209,500011823
BernardinoLanino,Q2898897,500024323
PieterLastman,Q352864,500032894
TommasoLaureti,Q357886,500030736
HansSebaldLautensack,Q1392217,500021904
HoraceLeBlanc,Q3140456,500001903
CharlesLeBrun,Q271676,500016215
PierreLeMuet,Q951717,500032000
AntoineLePautre,Q345884,500022516
EustacheLeSueur,Q1378723,500002273
FrancoisLeVau,Q3085130,500033657
RemeeVanLeemput,Q18526282,500077724
JeanLemaire,Q212445,500014001
JacquesLemercier,Q708858,500024557
LeoneLeoni,Q722092,500008130
PompeoLeoni,Q1858775,500037449
HenriLerambert,Q15709386,500027797
PierreLescot,Q381724,500000923
LucasVanLeyden,Q320980,500020789
BernardinoLicinio,Q2629038,500018969
GiulioLicinio,Q2013006,500031502
PirroLigorio,Q736090,500018431
JacopoLigozzi,Q1337128,500011933
FilippinoLippi,Q296265,500018029
FraFilippoLippi,Q205148,500019158
NicolasLoir,Q3340535,500016423
GiovanniPaoloLomazzo,Q982538,500008109
LambertLombard,Q983189,500020079
AlfonsoLombardi,Q1103494,500027968
CristoforoLombardo,Q60040609,500044528
GirolamoLombardo,Q3768939,500050768
OnorioLonghi,Q2024585,500013856
AngeloDiLorentino,Q3617296,500006167
AmbrogioLorenzetti,Q211562,500012547
PietroLorenzetti,Q309635,500030946
BattistaLorenzi,Q1525885,500001164
Lorenzetto,Q1363951,500016487
AurelioLuini,Q1071000,500013175
BernardinoLuini,Q8537,500008110
LorenzoLuzzo,Q2307438,500020790
AndreLebre,Q28016969,500078898
CarloMaderno,Q122328,500007668
AlessandroMaganza,Q2623038,500015224
GiovanniMaggi,Q21369214,500006728
Maggiore,Q18508239,500075288
BenedettoDaMaiano,Q675619,500006675
BastianoMainardi,Q785254,500006581
IsaacMajor,Q21708176,500006314
ulan_500027513,Q1160847,500042074
CarelVanMander,Q206173,500010579
BartolomeoManfredi,Q721166,500019094
FrancoisMansart,Q313701,500031848
GiovanniMansueti,Q347842,500020377
AndreaMantegna,Q5681,500004218
RinaldoMantovano,Q3432160,500008394
DianaScultoriGhisi,Q3026163,500018707
GiovanniBattistaScultori,Q3107069,500008510
CarloMaratti,Q538998,500118927
GuillaumeMarcillat,Q1364424,500120245
JeanMartin,Q2482957,500322166
Masaccio,Q5811,500026649
MasolinoDaPanicale,Q318117,500004819
GirolamoMassei,Q20735489,500102489
JacobMatham,Q577044,500029969
MicheleDiMatteo,Q6836872,500020908
MatthijsBril,Q1908666,500007303
